"To use this sheet, you will need to make a copy first to be able to edit (File -> Make a copy). Enter ""Yes"" if the category is used in your league or ""No"" if it is not in the ""Category Used?"" row. Then use the ""Weight"" row to assign a points weight to each category. You only need to enter information into the cells highlighted in red. The rows highlighted in green will output the total number of projected Fantasy Points and the projected Fantasy Points per game played for your league.",,,,,,,,,,,,,,,Selections for VORP / Positional Eligibility / Off-Nights Effects,,,,,,,,,,,,,,VORP F Number,VORP D Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,VORP On?,,Positional Eligibility,,,Off-Nights Effects,,,# of Teams,,# of Starting F,# of Starting D,,Rank,120,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Yes,,Medium Effect,,,Medium Effect,,,12,,10,4,,FPts per GP,4.64,3.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Category Used? Yes/No,,,,,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,All numbers below in these columns are generated automatically by the spreadsheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weight,,,,,5.00,3.75,0.00,0.50,0.50,0.30,0.60,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Player,Info,,,Projections - Blake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,Team,Y! Pos,Proj PP,GP,G,A,PTS,PPP,SOG,HIT,BLK,PIM,S%,ATOI,G,A,PTS,PPP,SOG,HIT,BLK,PIM,S%,ATOI,FPTS - Total,FPTS per GP,VORP + PE + ONE,,FPts per GP + PE,FPts per GP + ONE,FPts per GP + PE + ONE,VORP,VORP + PE,VORP + ONE,VORP + PE + ONE,,Full Pos,Med Pos,Full Off,Med Off,,FPts per GP + MPE,FPts per GP + FPE,FPts per GP + MONE,FPts per GP + FONE,FPts per GP + MPE + MONE,FPts per GP + MPE + FONE,FPts per GP + FPE + MONE,FPts per GP + FPE + FONE,VORP,VORP + MPE,VORP + FPE,VORP + MONE,VORP + FONE,VORP + MPE + MONE,VORP + MPE + FONE,VORP + FPE + MONE,VORP + FPE + FONE
Nathan MacKinnon,COL,C,1,84,50.4,74.4,124.8,37.0,377.2,55.4,47.9,36.3,13.4%,22.20,252.00,279.00,0.00,18.50,188.60,16.62,28.74,0.00,0.00,0.00,783.46,9.33,4.91,,,,,,,,,,0.96,0.98,1.14,1.07,,9.14,8.95,9.98,10.63,9.78,10.42,9.58,10.21,4.68,4.59,4.50,5.01,5.34,4.91,5.23,4.81,5.13
Connor McDavid,EDM,C,1,84,45.1,91.3,136.4,50.9,300.6,49.5,33.3,41.0,15.0%,22.20,225.50,342.38,0.00,25.45,150.30,14.85,19.98,0.00,0.00,0.00,778.46,9.27,4.74,,,,,,,,,,0.96,0.98,1.09,1.045,,9.08,8.90,9.68,10.10,9.49,9.90,9.30,9.70,4.62,4.53,4.44,4.83,5.04,4.74,4.94,4.64,4.84
Nikita Kucherov,TBL,RW,1,84,42.1,94.1,136.2,46.3,280.8,42.2,34.0,47.6,15.00%,20.90,210.50,352.88,0.00,23.15,140.40,12.66,20.40,0.00,0.00,0.00,759.99,9.05,3.93,,,,,,,,,,0.95,0.975,0.83,0.915,,8.82,8.60,8.28,7.51,8.07,7.32,7.86,7.13,4.40,4.29,4.18,4.03,3.66,3.93,3.56,3.83,3.47
Leon Draisaitl,EDM,C/LW,1,84,49.3,67.4,116.7,47.4,239.2,48.2,24.6,36.9,20.60%,21.15,246.50,252.75,0.00,23.70,119.60,14.46,14.76,0.00,0.00,0.00,671.77,8.00,3.66,,,,,,,,,,1.09,1.045,1.09,1.045,,8.36,8.72,8.36,8.72,8.73,9.11,9.11,9.50,3.35,3.50,3.66,3.50,3.66,3.66,3.82,3.82,3.98
Cale Makar,COL,D,1,84,23.4,69.1,92.5,35.5,237.5,41.8,133.9,26.6,9.9%,24.95,117.00,259.13,0.00,17.75,118.75,12.54,80.34,0.00,0.00,0.00,605.51,7.21,3.59,,,,,,,,,,1,1,1.14,1.07,,7.21,7.21,7.71,8.22,7.71,8.22,7.71,8.22,3.35,3.35,3.35,3.59,3.82,3.59,3.82,3.59,3.82
