"To use this sheet, you will need to make a copy first to be able to edit (File -> Make a copy). Enter ""Yes"" if the category is used in your league or ""No"" if it is not in the ""Category Used?"" row. Then use the ""Weight"" row to assign a points weight to each category. You only need to enter information into the cells highlighted in red. The rows highlighted in green will output the total number of projected Fantasy Points and the projected Fantasy Points per game played for your league.",,,,,,,,,,,,,,,Selections for VORP / Positional Eligibility / Off-Nights Effects,,,,,,,,,,,,,,VORP F Number,VORP D Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,VORP On?,,Positional Eligibility,,,Off-Nights Effects,,,# of Teams,,# of Starting F,# of Starting D,,Rank,120,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Yes,,Medium Effect,,,Medium Effect,,,12,,10,4,,FPts per GP,4.64,3.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Category Used? Yes/No,,,,,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,All numbers below in these columns are generated automatically by the spreadsheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weight,,,,,5.00,3.75,0.00,0.50,0.50,0.30,0.60,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Player,Info,,,Projections - Nate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,Team,Y! Pos,Proj PP,GP,G,A,PTS,PPP,SOG,HIT,BLK,PIM,S%,ATOI,G,A,PTS,PPP,SOG,HIT,BLK,PIM,S%,ATOI,FPTS - Total,FPTS per GP,VORP + PE + ONE,,FPts per GP + PE,FPts per GP + ONE,FPts per GP + PE + ONE,VORP,VORP + PE,VORP + ONE,VORP + PE + ONE,,Full Pos,Med Pos,Full Off,Med Off,,FPts per GP + MPE,FPts per GP + FPE,FPts per GP + MONE,FPts per GP + FONE,FPts per GP + MPE + MONE,FPts per GP + MPE + FONE,FPts per GP + FPE + MONE,FPts per GP + FPE + FONE,VORP,VORP + MPE,VORP + FPE,VORP + MONE,VORP + FONE,VORP + MPE + MONE,VORP + MPE + FONE,VORP + FPE + MONE,VORP + FPE + FONE
Nathan Mackinnon,COL,C,1,84,45.3,83.7,129.1,35.7,359.8,58.1,44.1,30.8,12.6%,22.00,226.50,313.88,0.00,17.85,179.90,17.43,26.46,0.00,0.00,0.00,782.02,9.31,4.89,,,,,,,,,,0.96,0.98,1.14,1.07,,9.12,8.94,9.96,10.61,9.76,10.40,9.56,10.19,4.67,4.57,4.48,4.99,5.32,4.89,5.21,4.79,5.11
Connor McDavid,EDM,C,1,84,43.4,88.0,131.5,48.5,286.3,53.4,28.4,36.9,15.20%,22.00,217.00,330.00,0.00,24.25,143.15,16.02,17.04,0.00,0.00,0.00,747.46,8.90,4.36,,,,,,,,,,0.96,0.98,1.09,1.045,,8.72,8.54,9.30,9.70,9.11,9.51,8.93,9.31,4.26,4.17,4.08,4.45,4.64,4.36,4.55,4.27,4.45
Nikita Kucherov,TBL,RW,1,84,41.8,88.8,130.6,40.9,255.0,31.8,32.4,48.6,16.4%,20.25,209.00,333.00,0.00,20.45,127.50,9.54,19.44,0.00,0.00,0.00,718.93,8.56,3.49,,,,,,,,,,0.95,0.975,0.83,0.915,,8.34,8.13,7.83,7.10,7.64,6.93,7.44,6.75,3.92,3.82,3.72,3.58,3.25,3.49,3.17,3.40,3.09
Macklin Celebrini,SJS,C,1,84,48.3,65.2,113.5,36.5,299.8,52.7,55.9,42.5,16.10%,21.50,241.50,244.50,0.00,18.25,149.90,15.81,33.54,0.00,0.00,0.00,703.50,8.38,3.82,,,,,,,,,,0.96,0.98,1.09,1.045,,8.21,8.04,8.75,9.13,8.58,8.95,8.40,8.76,3.73,3.66,3.58,3.90,4.07,3.82,3.99,3.74,3.90
Auston Matthews,TOR,C,1,84,51.0,45.8,96.8,26.2,344.8,60.4,100.5,26.0,14.8%,20.75,255.00,171.75,0.00,13.10,172.40,18.12,60.30,0.00,0.00,0.00,690.67,8.22,3.45,,,,,,,,,,0.96,0.98,0.97,0.985,,8.06,7.89,8.10,7.98,7.94,7.82,7.77,7.66,3.58,3.51,3.44,3.53,3.47,3.45,3.40,3.38,3.33
