Player,Team,Age,Pos,Salary,ADP,Favorite,GP,W,L,OTL,GA,SA,SV,SV%,GAA,SO,QS,RBS,VOR,Rank,Pts,Fantasy Team,GP Org,playerId
Andrei Vasilevskiy,TBL,32,G,$44,83.6,FALSE,56,35,17,4,139,1522,1383,0.909,2.48,3,36,8,657,1,238,,56,8476883
Logan Thompson,WSH,29,G,$40,113.8,FALSE,56,33,18,5,143,1568,1425,0.909,2.56,3,35,8,602,2,240,,56,8480313
Connor Hellebuyck,WPG,33,G,$39,106.1,FALSE,61,33,22,6,157,1697,1540,0.907,2.58,4,39,7,587,3,252,,61,8476945
Scott Wedgewood,COL,34,G,$32,219.1,FALSE,45,28,14,3,112,1221,1110,0.909,2.48,3,28,7,483,4,191,,45,8475809
Igor Shesterkin,NYR,31,G,$31,127.7,FALSE,54,29,20,5,143,1551,1408,0.908,2.64,3,32,11,467,5,228,,54,8478048
Jet Greaves,CBJ,25,G,$26,162.5,FALSE,53,28,20,5,142,1503,1361,0.906,2.68,3,34,8,384,6,218,,53,8478009
Ilya Sorokin,NYI,31,G,$26,124.7,FALSE,59,30,23,6,164,1732,1568,0.905,2.78,5,34,10,384,7,246,,59,8482982
Jake Oettinger,DAL,28,G,$22,121.6,FALSE,53,30,18,5,142,1443,1301,0.902,2.67,3,30,10,324,8,211,,53,8480280
Jeremy Swayman,BOS,28,G,$21,138.7,FALSE,54,28,21,5,149,1555,1406,0.904,2.76,3,33,10,305,9,221,,54,8479979
Joel Hofer,STL,26,G,$18,183.1,FALSE,45,24,17,4,122,1287,1165,0.906,2.70,4,27,7,258,10,188,,45,8480981
Dan Vladar,PHI,29,G,$16,-,FALSE,50,26,19,5,135,1369,1234,0.902,2.69,2,31,10,236,11,194,,50,8475311
Jesper Wallstedt,MIN,24,G,$16,188.8,FALSE,46,24,18,4,127,1357,1230,0.906,2.76,4,30,7,232,12,196,,46,8476999
Karel Vejmelka,UTA,30,G,$16,142.9,FALSE,55,31,19,5,152,1504,1351,0.899,2.77,2,28,13,224,13,211,,55,8482661
John Gibson,DET,33,G,$15,233.6,FALSE,55,27,22,6,156,1588,1432,0.902,2.83,2,29,10,222,14,219,,55,8478872
Joey Daccord,SEA,30,G,$15,261.9,FALSE,53,26,21,5,151,1547,1396,0.903,2.84,3,31,10,211,15,214,,53,8478435
Darcy Kuemper,LAK,36,G,$15,236.8,FALSE,47,25,17,4,124,1249,1126,0.901,2.63,3,26,10,209,16,180,,47,8478916
Linus Ullmark,OTT,33,G,$10,186.2,FALSE,48,27,17,4,133,1331,1198,0.900,2.77,3,29,8,142,17,190,,48,8476434
Dustin Wolf,CGY,25,G,$10,199.4,FALSE,54,26,22,6,157,1587,1429,0.901,2.91,2,28,10,136,18,215,,54,8481692
Mackenzie Blackwood,COL,30,G,$8,182.1,FALSE,40,22,14,4,109,1130,1021,0.903,2.73,3,25,7,109,19,164,,40,8478406
Spencer Knight,CHI,25,G,$7,186.2,FALSE,54,25,23,6,155,1541,1386,0.899,2.87,3,29,10,97,20,206,,54,8479406
Filip Gustavsson,MIN,28,G,$7,217.1,FALSE,40,21,15,4,111,1157,1046,0.904,2.78,3,23,7,92,21,166,,40,8476932
Anthony Stolarz,TOR,33,G,$7,291.7,FALSE,36,20,13,3,98,1030,931,0.905,2.73,2,22,6,85,22,149,,36,8482487
Jakub Dobes,MTL,25,G,$4,159.4,FALSE,44,24,16,4,124,1243,1119,0.900,2.82,1,27,9,44,23,172,,44,8481519
Sergei Bobrovsky,TOR,38,G,$3,183.9,FALSE,48,26,18,4,132,1257,1125,0.895,2.75,4,28,10,25,24,175,,48,8477967
Thatcher Demko,VAN,31,G,$2,284,FALSE,45,23,18,4,127,1259,1132,0.899,2.82,3,25,9,23,25,174,,45,8481611
Anton Forsberg,LAK,34,G,$2,285.6,FALSE,37,18,15,4,102,1044,942,0.903,2.75,3,21,8,21,26,147,,37,8483548
Brandon Bussi,CAR,28,G,$2,217.2,FALSE,41,25,12,3,107,1010,903,0.894,2.62,2,22,10,15,27,148,,41,8474596
Pyotr Kochetkov,CAR,27,G,$1,279.2,FALSE,35,20,12,3,93,921,828,0.899,2.65,3,18,8,0,28,135,,35,8475683
Jake Allen,NJD,36,G,$1,266.2,FALSE,45,22,19,5,130,1300,1170,0.900,2.89,2,24,9,-7,29,176,,45,8479193
Lukas Dostal,ANA,26,G,$1,163.8,FALSE,55,27,23,6,168,1635,1467,0.897,3.06,2,28,10,-16,30,214,,55,8480843
Ukko-Pekka Luukkonen,BUF,27,G,$1,238.1,FALSE,40,22,15,4,113,1122,1009,0.899,2.83,2,24,8,-37,31,157,,40,8480045
Casey DeSmith,DAL,35,G,$1,289,FALSE,30,16,11,3,81,838,757,0.903,2.71,1,17,6,-38,32,121,,30,8476341
Jacob Markstrom,FLA,36,G,$1,172.2,FALSE,50,26,19,5,143,1336,1193,0.893,2.86,2,25,10,-62,33,178,,50,8474593
Juuse Saros,NSH,31,G,$1,155.1,FALSE,59,27,25,6,183,1737,1553,0.894,3.11,2,30,10,-67,34,221,,59,8477424
Michael DiPietro,BOS,27,G,$1,-,FALSE,28,15,11,3,77,806,729,0.904,2.76,1,14,6,-84,35,114,,28,8484170
Alex Lyon,BUF,34,G,$1,287.8,FALSE,35,18,14,3,102,1013,911,0.900,2.90,2,20,7,-143,36,139,,35,8479973
Sebastian Cossa,UTA,24,G,$1,291.2,FALSE,30,17,11,3,83,820,737,0.899,2.77,1,15,7,-153,37,115,,30,8479312
Jacob Fowler,MTL,22,G,$1,282.6,FALSE,30,16,11,3,83,818,735,0.899,2.76,2,17,6,-154,38,115,,30,8482445
Adin Hill,VGK,30,G,$1,289.1,FALSE,40,22,15,4,114,1070,957,0.894,2.84,2,19,9,-159,39,146,,40,8478499
Devin Cooley,CGY,29,G,$1,289.9,FALSE,28,14,12,3,79,800,722,0.902,2.81,0,18,6,-169,40,109,,28,8479361
Joseph Woll,PHI,28,G,$1,290.3,FALSE,35,18,14,3,105,1065,960,0.901,3.00,1,20,8,-175,41,145,,35,8481668
Carter Hart,VGK,28,G,$1,236.4,FALSE,40,21,15,4,116,1113,997,0.895,2.91,1,22,8,-178,42,149,,40,8478971
Akira Schmid,FLA,26,G,$1,292.9,FALSE,32,17,12,3,90,855,766,0.895,2.80,2,13,8,-234,43,117,,32,8479496
David Rittich,NJD,34,G,$1,292.2,FALSE,30,15,12,3,84,809,725,0.896,2.80,2,17,6,-252,44,110,,30,8479394
Philipp Grubauer,SEA,35,G,$1,283.6,FALSE,31,16,12,3,91,886,796,0.898,2.92,1,16,6,-263,45,119,,31,8475831
