Player,Age,Pos,Team,Salary,ADP,Favorite,TOI Org ES,TOI Org PP,TOI Org PK,GP Org,GP,Offday,TOI ES,TOI PP,TOI PK,Total TOI,Goals,Assists,Points,PPG,PPA,PP Points,SHG,SHA,SHP,Hit,BLK,PIM,FOW,FOL,SOG,+/-,VOR,Rank,Unadj VOR,FP,PlayerId,Fantasy Team,Missed GP
Connor McDavid,30,C,EDM,$78,1.8,FALSE,18.08,3.43,0.79,79,79,29,18.08,3.43,0.79,22.30,39,84,123,11,33,44,1,0,1,51,36,33,421,427,252,24,1183,2,1730,779,8478402,,0
Nathan MacKinnon,31,C,COL,$79,1.3,FALSE,17.77,4.04,0.05,80,80,32,17.77,4.04,0.05,21.86,43,74,117,10,26,36,0,0,0,58,50,34,650,634,313,37,1202,1,1750,928,8477492,,0
Nikita Kucherov,33,RW,TBL,$64,3.3,FALSE,15.99,3.98,0.02,78,78,16,15.99,3.98,0.02,19.99,38,78,116,8,33,41,0,0,0,35,31,32,0,2,232,26,971,5,1517,547,8476453,,0
Macklin Celebrini,20,C,SJS,$71,4.1,FALSE,17.83,3.78,0.18,83,83,31,17.83,3.78,0.18,21.80,45,59,104,13,22,35,0,0,0,53,65,40,619,658,297,-10,1070,4,1617,864,8484801,,0
Leon Draisaitl,31,"C,LW",EDM,$51,4.9,FALSE,17.25,3.40,0.38,73,73,27,17.25,3.40,0.38,21.03,41,59,100,17,20,37,0,1,1,37,24,36,655,504,202,18,765,15,1224,743,8477934,,0
Kirill Kaprizov,29,LW,MIN,$56,7.2,FALSE,18.00,3.75,0.03,78,78,22,18.00,3.75,0.03,21.78,46,51,97,16,19,35,0,0,0,49,38,29,0,2,258,14,845,11,1303,536,8478864,,0
Jason Robertson,27,"LW,RW",DAL,$54,12.8,FALSE,16.15,3.69,0.02,84,84,28,16.15,3.69,0.02,19.86,41,53,94,13,22,35,0,0,0,56,49,26,2,3,258,12,819,12,1278,532,8480027,,0
David Pastrnak,30,RW,BOS,$53,6.7,FALSE,15.98,3.38,0.04,82,82,25,15.98,3.38,0.04,19.39,36,58,94,10,19,29,0,0,0,81,34,43,3,8,280,5,792,14,1338,528,8477956,,0
Cale Makar,28,D,COL,$73,7.7,FALSE,18.85,4.12,2.05,82,82,33,18.85,4.12,2.05,25.02,25,68,93,9,27,36,1,0,1,39,129,22,0,0,235,24,1098,3,1373,529,8480069,,0
Mitch Marner,29,"C,LW,RW",VGK,$33,32.9,FALSE,15.19,3.40,1.55,83,83,28,15.19,3.40,1.55,20.14,26,66,92,7,26,33,1,0,1,34,52,21,118,179,167,10,498,31,957,490,8478483,,0
Nick Suzuki,27,C,MTL,$35,22,FALSE,16.52,3.46,0.72,84,84,29,16.52,3.46,0.72,20.70,33,57,90,10,23,33,1,0,1,64,70,18,704,680,184,14,522,26,1069,773,8480018,,0
