R#,NAME,TOTAL,POS,TEAM,GP,TOI,GOA,AST,PIM,BLK,SHP,SAV,GA,SHU,WIN
1,Connor Hellebuyck,208.12,G,WPG,61,60,,,,,0,"1,539.60",157.4,3.8,33.3
2,Ilya Sorokin,203.5,G,CBJ,59,60,,,,,0,"1,568.20",164,4.7,29.7
3,Logan Thompson,197.18,G,WAS,56,60,,,,,0,"1,424.60",143.4,2.9,33.2
4,Andrei Vasilevskiy,195.49,G,TB,56,60,,,,,0,"1,382.60",138.9,3,34.6
5,Igor Shesterkin,188.65,G,NYR,54,60,,,,,0,"1,408.30",142.6,3.2,28.8
6,Jeremy Swayman,179.94,G,DAL,54,60,,,,,0,"1,405.60",149,3,28
7,Jet Greaves,178,G,NYI,53,60,,,,,0,"1,361.00",142,2.7,28.3
8,John Gibson,176.06,G,UTA,55,60,,,,,0,"1,432.20",155.7,2.1,27.3
9,Joey Daccord,173.27,G,PHI,53,60,,,,,0,"1,396.00",150.5,2.5,26.3
10,Dustin Wolf,172.32,G,CGY,54,60,,,,,0,"1,429.40",157.1,2.2,26.1
11,Juuse Saros,172.32,G,NAS,59,60,,,,,0,"1,553.50",183.5,2.1,27.3
12,Jake Oettinger,170.3,G,BOS,53,60,,,,,0,"1,301.20",141.5,3,30.4
13,Lukas Dostal,168.4,G,ANA,55,60,,,,,0,"1,466.90",168.3,1.8,26.5
14,Karel Vejmelka,167.2,G,MIN,55,60,,,,,0,"1,351.40",152.4,1.7,30.6
15,Spencer Knight,165.78,G,MIN,54,60,,,,,0,"1,385.60",155,2.9,25.2
16,Jesper Wallstedt,163.3,G,OTT,46,60,,,,,0,"1,229.60",127,4.4,23.8
17,Scott Wedgewood,157.95,G,COL,45,60,,,,,0,"1,109.70",111.6,2.9,27.8
18,Joel Hofer,155.55,G,STL,45,60,,,,,0,"1,165.10",121.5,3.8,24.3
19,Dan Vladar,155.35,G,LA,50,60,,,,,0,"1,234.00",134.5,1.8,26.4
20,Linus Ullmark,152.79,G,DET,48,60,,,,,0,"1,197.60",133,3.1,26.7
21,Darcy Kuemper,145.83,G,SEA,47,60,,,,,0,"1,125.70",123.6,3.1,25.5
22,Jake Allen,140.92,G,DAL,45,60,,,,,0,"1,170.00",130.1,2.1,21.8
23,Thatcher Demko,140.43,G,CAR,45,60,,,,,0,"1,132.20",126.9,3.1,23.1
24,Sergei Bobrovsky,139.89,G,VAN,48,60,,,,,0,"1,124.60",132,4.1,25.8
25,Jacob Markstrom,139.21,G,FLA,50,60,,,,,0,"1,193.00",143,2.5,25.8
26,Jakub Dobes,136.86,G,CHI,44,60,,,,,0,"1,118.90",124.1,0.9,23.5
27,Filip Gustavsson,135.99,G,TOR,40,60,,,,,0,"1,046.00",111.2,3.1,21.3
28,Mackenzie Blackwood,133.68,G,COL,40,60,,,,,0,"1,021.20",109.2,2.7,22.2
29,Ukko-Pekka Luukkonen,125.81,G,BUF,40,60,,,,,0,"1,009.20",113.2,2.2,21.9
30,Yaroslav Askarov,125.15,G,CBJ,45,60,,,,,0,"1,177.70",144.9,1.8,20.6
31,Anthony Stolarz,121.81,G,MON,36,60,,,,,0,931.3,98.3,2.2,19.6
32,Anton Forsberg,120.61,G,CAR,37,60,,,,,0,942,101.8,3.1,18.5
33,Carter Hart,116.79,G,EDM,40,60,,,,,0,996.8,116.4,1.2,21
34,Joseph Woll,116.06,G,PIT,35,60,,,,,0,960.1,105,1.2,17.7
35,Brandon Bussi,115.32,G,NJ,41,60,,,,,0,902.8,107.4,2,25.5
36,Adin Hill,114.76,G,VEG,40,60,,,,,0,956.8,113.6,2.3,21.6
37,Arturs Silovs,113.27,G,EDM,40,60,,,,,0,984.4,119.2,1.9,21.3
38,Alex Lyon,112.03,G,WPG,35,60,,,,,0,911.1,101.5,2.1,18.1
39,Pyotr Kochetkov,108.6,G,TOR,35,60,,,,,0,828.5,92.8,2.5,20.4
