R#,NAME,TOTAL,POS,TEAM,GP,TOI,GOA,AST,PIM,BLK,SHP,SAV,GA,SHU,WIN
1,Nathan MacKinnon,265.2,C,COL,80,21.9,43,74,34,50,0,,0,,
2,Connor McDavid,265.2,C,EDM,79,22.3,39,84,33,36,1,,0,,
3,Macklin Celebrini,255,C,SJ,83,21.8,45,59,40,65,0,,0,,
4,Nikita Kucherov,249.9,RW,TB,78,20,38,78,32,31,0,,0,,
5,Kirill Kaprizov,234.6,LW,MIN,78,21.8,46,51,29,38,0,,0,,
6,Leon Draisaitl,231,CLW,EDM,73,21,41,59,36,24,1,,0,,
7,Jason Robertson,225,LWRW,DAL,84,19.9,41,53,26,49,0,,0,,
8,Cale Makar,223.8,D,COL,82,25,25,68,22,129,1,,0,,
9,Wyatt Johnston,219.9,CRW,DAL,82,20.4,41,45,30,63,1,,0,,
10,David Pastrnak,218.1,RW,BOS,82,19.4,36,58,43,34,0,,0,,
11,Auston Matthews,216.9,C,TOR,73,21.1,41,38,19,99,1,,0,,
12,Matt Boldy,216.6,LWRW,MIN,83,20.3,38,45,41,66,2,,0,,
13,Nick Suzuki,212.4,C,MON,84,20.7,33,57,18,70,1,,0,,
14,Jack Eichel,208.2,C,VEG,78,20.7,32,58,17,57,2,,0,,
15,Brandon Hagel,208.2,LWRW,TB,76,19.8,36,42,55,54,3,,0,,
16,Mark Scheifele,206.1,C,WPG,83,20.8,33,50,50,57,0,,0,,
17,Kyle Connor,205.8,LW,WPG,83,20.9,39,47,18,33,2,,0,,
18,Sam Reinhart,202.2,RW,FLA,77,20.7,39,37,17,62,4,,0,,
19,Zach Werenski,201.9,D,CBJ,82,26.7,22,60,27,121,1,,0,,
20,Jake Guentzel,200.7,LWRW,TB,82,19.6,35,45,33,56,1,,0,,
21,Tim Stutzle,200.7,CLW,OTT,84,20.2,30,54,36,53,2,,0,,
22,Mitch Marner,200.4,CLWRW,VEG,83,20.1,26,66,21,52,1,,0,,
23,Martin Necas,198,RW,COL,79,20.9,33,53,31,34,0,,0,,
24,Tage Thompson,197.7,CRW,BUF,80,18.9,40,36,32,47,0,,0,,
25,Evan Bouchard,195.9,D,EDM,84,24.3,20,62,32,106,1,,0,,
26,William Nylander,195,CRW,TOR,78,19.6,36,48,19,31,0,,0,,
27,Jack Hughes,194.7,CLW,LA,72,21.4,32,54,15,39,1,,0,,
28,Alex Tuch,193.5,LWRW,WAS,81,18.8,31,32,50,105,4,,0,,
29,Filip Forsberg,193.2,LW,NAS,83,18.4,36,40,38,46,0,,0,,
30,Artemi Panarin,192.9,LW,LA,78,20.2,33,55,20,18,0,,0,,
31,Sebastian Aho,192.6,C,CAR,79,19.5,30,49,39,33,5,,0,,
32,Alex DeBrincat,192.6,LWRW,DET,83,18.2,39,37,25,42,0,,0,,
33,Quinn Hughes,191.1,D,MIN,76,27.5,15,74,36,81,0,,0,,
34,Clayton Keller,190.2,LWRW,UTA,81,19,30,54,31,33,0,,0,,
35,Rasmus Dahlin,189.6,D,BUF,80,24.2,19,56,64,98,0,,0,,
36,Mikko Rantanen,189.3,LWRW,DAL,74,20.1,28,49,56,50,0,,0,,
37,Cole Caufield,189.3,LWRW,MON,82,18.3,42,33,15,31,0,,0,,
38,Dylan Larkin,188.4,C,DET,80,19.8,35,37,40,43,2,,0,,
39,Juraj Slafkovsky,187.2,LWRW,MON,83,18.9,30,37,50,89,0,,0,,
40,Nico Hischier,186,C,NJ,81,20.5,32,40,22,68,2,,0,,
41,Brady Tkachuk,184.2,CLW,FLA,75,17.2,31,34,94,40,0,,0,,
42,Cutter Gauthier,183,CLWRW,ANA,83,17.7,39,31,26,39,0,,0,,
43,Leo Carlsson,182.4,C,ANA,83,19.3,33,39,26,47,2,,0,,
44,Adrian Kempe,181.5,RW,LA,80,19.1,32,38,48,42,1,,0,,
45,Dylan Guenther,180.9,LWRW,UTA,76,17.7,37,33,27,41,0,,0,,
46,J.T. Miller,179.7,CLWRW,NYR,79,19.3,25,47,45,59,2,,0,,
