Player,FPTS,AVG,ADP,GP,OFF,B2B,G,AST,PTS,SOG,PIM,HIT,BLK
,,,,,,,,,,,,,
Nathan MacKinnon (COL - C),"1,070.00",13,1.96,82,34,10,43,79,122,359,36,57,47
Connor McDavid (EDM - C),"1,021.00",12.5,1.65,82,31,11,41,89,130,290,41,50,30
Nikita Kucherov (TB - RW),971,12,3.92,81,17,13,40,84,124,255,44,35,31
Kirill Kaprizov (MIN - LW),901,11,11.8,82,24,10,47,54,101,287,34,51,33
Auston Matthews (TOR - C),897,10.9,15.97,82,26,11,46,45,91,312,23,59,100
"Leon Draisaitl (EDM - C,LW)",879,10.7,6.97,82,31,11,45,65,110,225,39,43,26
"Jack Hughes (NJ - C,LW)",857,10.5,24.97,82,24,13,39,59,98,298,17,9,41
Jack Eichel (VGS - C),857,10.6,23.66,81,28,8,35,59,94,289,18,34,49
Macklin Celebrini (SJ - C),855,10.4,4.48,82,31,13,42,63,105,286,41,50,58
David Pastrnak (BOS - RW),840,10.2,8.4,82,26,14,36,66,102,308,56,74,27
Cale Makar (COL - D),834,10.4,7.09,80,34,10,23,63,86,218,20,40,128
"Jason Robertson (DAL - LW,RW)",814,10,9.58,81,28,13,40,51,91,278,26,52,36
Zach Werenski (CBJ - D),789,9.7,14.45,81,23,13,21,59,80,280,24,27,115
"Matthew Boldy (MIN - RW,LW)",788,9.7,19.13,81,24,10,38,47,85,262,37,61,60
Martin Necas (COL - RW),783,9.5,19.2,82,34,10,34,62,96,224,26,79,27
"Brandon Hagel (TB - LW,RW)",782,9.5,44.29,82,17,13,40,49,89,238,62,52,46
Evan Bouchard (EDM - D),752,9.2,16.54,82,31,11,18,62,80,225,30,32,99
Nick Suzuki (MTL - C),747,9.1,14.51,82,29,10,30,59,89,187,23,63,63
Quinn Hughes (MIN - D),741,9,15.87,82,24,10,13,78,91,201,34,12,88
Kyle Connor (WPG - LW),730,8.9,29.62,82,29,9,36,48,84,268,16,26,25
"William Nylander (TOR - RW,C)",721,8.9,41.04,81,26,11,37,50,87,245,21,17,30
"Tage Thompson (BUF - C,RW)",718,9,28.65,80,27,14,43,36,79,269,34,81,40
"Cutter Gauthier (ANA - LW,RW,C)",709,8.6,38.74,82,34,11,41,31,72,301,27,72,30
Sam Reinhart (FLA - RW),709,8.6,49.05,82,30,14,43,37,80,220,23,80,53
"Jake Guentzel (TB - LW,RW)",707,8.7,31.97,81,17,13,34,46,80,216,37,35,43
"Mitch Marner (VGS - RW,LW,C)",702,8.6,45.03,82,28,8,25,65,90,171,20,30,44
"Cole Caufield (MTL - LW,RW)",700,8.5,17.19,82,29,10,40,34,74,263,13,53,25
Rasmus Dahlin (BUF - D),698,8.5,36.26,82,27,14,19,56,75,207,71,82,92
"Dylan Guenther (UTA - RW,LW)",697,8.6,46.8,81,33,10,39,33,72,269,28,68,35
"Clayton Keller (UTA - LW,RW)",692,8.4,44.54,82,33,10,28,57,85,222,34,10,30
Leo Carlsson (ANA - C),691,8.6,62.26,80,34,11,37,44,81,226,25,16,38
"Alex DeBrincat (DET - LW,RW)",687,8.4,38.32,82,30,12,37,36,73,268,25,37,40
"Mikko Rantanen (DAL - RW,LW)",677,8.3,33.5,82,28,13,28,58,86,192,75,55,40
"Wyatt Johnston (DAL - C,RW)",676,8.2,21.14,82,28,13,37,41,78,213,29,52,52
"Dylan Holloway (STL - LW,C)",675,8.2,109.42,82,21,12,31,42,73,223,28,178,54
"Matthew Tkachuk (FLA - RW,LW)",675,8.3,34.06,81,30,14,28,55,83,232,91,96,20
Aleksander Barkov (FLA - C),673,8.2,64.49,82,30,14,23,61,84,186,21,91,58
Mark Scheifele (WPG - C),668,8.1,38.43,82,29,9,33,53,86,176,51,44,50
"Brady Tkachuk (FLA - LW,C)",667,8.1,24.51,82,30,14,31,36,67,291,110,228,29
Artemi Panarin (LA - LW),666,8.1,48.81,82,28,10,33,53,86,230,18,13,15
Sebastian Aho (CAR - C),665,8.1,74.05,82,25,12,30,49,79,214,45,62,24
"Tim Stutzle (OTT - C,LW)",664,8.1,49,82,28,14,29,50,79,205,37,120,45
Adrian Kempe (LA - RW),663,8.1,54.57,82,28,10,34,38,72,239,51,116,36
Matthew Schaefer (NYI - D),659,8,31.48,82,25,13,19,42,61,230,36,41,112
Kirill Marchenko (CBJ - RW),659,8.1,68.91,81,23,13,32,37,69,223,26,61,42
"Mathew Barzal (NYI - RW,C)",658,8,143.16,82,25,13,21,57,78,198,38,36,56
Bo Horvat (NYI - C),654,8.1,124.67,81,25,13,36,32,68,258,32,65,44
Brayden Point (TB - C),653,8,92.28,82,17,13,33,42,75,197,13,17,38
Mark Stone (VGS - RW),648,8.1,114.83,80,28,8,25,51,76,163,15,41,55
Filip Forsberg (NSH - LW),647,7.9,48.53,82,18,11,35,38,73,251,36,121,41
"Zach Hyman (EDM - RW,LW)",642,7.8,89.79,82,31,11,39,27,66,223,37,77,29
Robert Thomas (STL - C),633,7.9,96.91,80,21,12,23,57,80,150,29,13,48
Dylan Larkin (DET - C),632,7.7,87.71,82,30,12,33,36,69,244,45,50,34
Jake Sanderson (OTT - D),630,7.7,69.03,82,28,14,14,43,57,186,13,37,155
Nico Hischier (NJ - C),627,7.6,118.13,82,24,13,30,38,68,206,22,50,60
John Carlson (TB - D),627,7.6,80.89,82,17,13,13,51,64,184,27,38,121
Porter Martone (PHI - RW),626,7.7,95.39,81,30,12,30,31,61,221,43,121,23
Brandt Clarke (LA - D),622,7.6,112.64,82,28,10,9,44,53,184,61,30,170
Jakob Chychrun (WSH - D),622,7.8,51.69,80,33,14,22,31,53,204,55,62,110
Adam Fox (NYR - D),620,7.7,66.12,81,33,11,11,61,72,139,30,36,109
"Alex Tuch (WSH - RW,LW)",616,7.5,79.75,82,33,14,29,32,61,191,49,78,88
Adam Fantilli (CBJ - C),613,7.5,104.45,82,23,13,31,38,69,224,32,138,53
Sidney Crosby (PIT - C),612,7.6,54.6,81,29,15,28,52,80,197,40,69,35
"Pavel Dorofeyev (NYR - RW,LW)",610,7.4,77.77,82,33,11,33,28,61,247,28,28,36
Jimmy Snuggerud (STL - RW),609,7.4,152.55,82,21,12,27,37,64,215,23,82,47
Moritz Seider (DET - D),607,7.4,47.58,82,30,12,8,42,50,173,48,148,179
"Connor Bedard (CHI - C,RW)",606,8.3,62.85,73,31,12,29,50,79,227,49,37,30
Darren Raddysh (TOR - D),604,7.5,57.4,81,26,11,13,48,61,201,44,66,87
Roope Hintz (DAL - C),604,7.4,126.88,82,28,13,27,39,66,190,28,74,35
"Juraj Slafkovsky (MTL - RW,LW)",602,7.3,54.03,82,29,10,25,42,67,187,48,122,74
Joel Eriksson Ek (MIN - C),594,7.3,145.71,81,24,10,23,31,54,234,40,133,49
Nikolaj Ehlers (CAR - LW),594,7.2,118.8,82,25,12,24,42,66,209,17,26,28
"Jesper Bratt (NJ - LW,RW)",592,7.2,86.61,82,24,13,22,58,80,176,13,73,30
"Mika Zibanejad (NYR - C,RW)",592,7.2,77.89,82,33,11,25,45,70,215,18,78,50
Jackson LaCombe (ANA - D),591,7.2,87.39,82,34,11,12,50,62,160,26,77,143
"Timo Meier (NJ - LW,RW)",587,7.2,101.64,82,24,13,28,26,54,268,39,134,60
Bryan Rust (PIT - RW),584,7.2,126.72,81,29,15,30,35,65,200,25,46,70
Lane Hutson (MTL - D),581,7.1,29.31,82,29,10,8,57,65,122,34,33,135
Roman Josi (NSH - D),580,7.4,72.59,78,18,11,16,43,59,209,35,36,122
Lucas Raymond (DET - RW),577,7,84.57,82,30,12,25,48,73,183,21,44,30
"Andrei Svechnikov (CAR - LW,RW)",577,7,117.39,82,25,12,27,39,66,219,69,164,22
"Viktor Arvidsson (DET - RW,LW)",577,7.1,Undrafted,81,30,12,28,33,61,220,30,32,39
"Nick Schmaltz (UTA - RW,C)",576,7,98.85,82,33,10,27,40,67,183,19,21,47
Quinton Byfield (LA - C),575,7,145.76,82,28,10,29,38,67,190,45,73,40
Miro Heiskanen (DAL - D),575,7,74.26,82,28,13,6,52,58,158,31,26,137
"Alex Ovechkin (WSH - LW,RW)",572,7,86.04,82,33,14,31,30,61,226,19,127,15
Mikhail Sergachev (UTA - D),571,7,94.95,82,33,10,10,49,59,161,41,51,132
Josh Morrissey (WPG - D),569,7.1,85.82,80,29,9,12,45,57,165,31,39,114
"Travis Konecny (PHI - RW,LW)",564,6.9,131.57,82,30,12,26,44,70,189,59,104,38
"Jared McCann (SEA - LW,C)",561,6.8,176.09,82,27,13,28,37,65,188,19,54,38
Tom Wilson (WSH - RW),559,7,126.41,80,33,14,27,31,58,161,112,200,64
"Will Smith (SJ - RW,LW)",555,6.9,85.99,80,31,13,29,42,71,191,15,17,15
"Morgan Geekie (BOS - LW,RW,C)",554,6.8,112.02,81,26,14,35,29,64,177,30,112,33
