RANK,PLAYER,TEAM,POS,GP,G,A,PTS,+/-,PPP,PIM,HITS,BLOCKS,SOG
1,Nathan MacKinnon,Colorado,C,81,48,81,129,27,37,40,56,50,351
2,Connor McDavid,Edmonton,C,78,39,89,128,20,46,38,60,29,268
3,Macklin Celebrini,San Jose,C,79,42,63,105,3,31,42,52,61,302
4,Leon Draisaitl,Edmonton,C,72,41,60,101,16,40,39,37,21,208
5,Nick Suzuki,Montreal,C,84,30,62,92,15,36,26,64,61,181
6,Jack Eichel,Vegas,C,72,28,57,85,16,28,18,30,49,257
7,Auston Matthews,Toronto,C,68,39,34,73,6,21,22,61,95,298
8,Jack Hughes,New Jersey,C,68,30,53,83,4,29,14,7,32,265
9,Wyatt Johnston,Dallas,C,84,41,40,81,1,31,32,55,53,219
10,Mark Scheifele,Winnipeg,C,81,34,57,91,5,22,51,50,49,171
11,Sebastian Aho,Carolina,C,79,30,51,81,11,27,44,58,24,203
12,Tim Stutzle,Ottawa,C,80,28,51,79,-1,28,38,121,44,185
13,Aleksander Barkov,Florida,C,70,22,54,76,9,28,16,83,52,175
14,Sidney Crosby,Pittsburgh,C,75,31,50,81,-3,24,40,72,34,207
15,Logan Cooley,Utah,C,78,34,38,72,2,20,48,78,39,177
16,Brayden Point,Tampa Bay,C,75,32,39,71,3,23,12,16,35,175
17,Mika Zibanejad,N.Y. Rangers,C,82,29,44,73,-7,30,20,76,51,209
18,Dylan Larkin,Detroit,C,76,33,38,71,-2,25,44,45,34,228
19,J.T. Miller,N.Y. Rangers,C,73,23,46,69,-2,27,45,157,45,155
20,Nico Hischier,New Jersey,C,79,30,39,69,-1,23,22,51,57,198
21,John Tavares,Toronto,C,79,32,38,70,-6,20,34,92,33,215
22,Adam Fantilli,Columbus,C,83,30,32,62,-3,15,30,133,57,215
23,Leo Carlsson,Anaheim,C,76,29,41,70,5,17,22,20,35,188
24,Bo Horvat,N.Y. Islanders,C,75,31,29,60,2,15,34,66,39,236
25,Nick Schmaltz,Utah,C,82,27,41,68,1,22,20,19,47,189
26,Roope Hintz,Dallas,C,73,24,34,58,16,20,22,57,33,149
27,Robert Thomas,St. Louis,C,70,21,49,70,12,19,30,12,44,130
28,Quinton Byfield,Los Angeles,C,81,25,33,58,6,16,47,75,37,181
29,Brock Nelson,Colorado,C,82,31,32,63,5,15,30,37,55,203
30,Joel Eriksson Ek,Minnesota,C,73,23,28,51,10,16,37,116,40,199
31,Dylan Cozens,Ottawa,C,83,23,31,54,-6,20,57,186,30,199
32,Vincent Trocheck,Utah,C,75,20,38,58,-4,16,55,185,63,154
33,Connor Bedard,Chicago,C,67,25,40,65,-12,22,46,37,28,197
34,Ryan O'Reilly,Nashville,C,82,22,43,65,2,21,22,20,65,159
35,Trevor Zegras,Philadelphia,C,73,24,39,63,-7,17,56,48,29,166
36,Dylan Strome,Washington,C,82,21,43,64,2,25,38,14,56,151
37,Sam Bennett,Florida,C,74,24,28,52,-3,12,91,141,39,209
38,Anthony Cirelli,Tampa Bay,C,76,24,29,53,17,5,40,47,60,135
39,Nazem Kadri,Colorado,C,81,23,34,57,-5,18,42,50,27,229
40,Elias Pettersson,Vancouver,C,74,20,40,60,-12,23,16,83,91,145
41,Tomas Hertl,Vegas,C,74,25,30,55,-10,21,30,97,48,176
42,Logan Stankoven,Carolina,C,80,22,29,51,3,11,26,59,32,211
43,Charlie Coyle,Columbus,C,84,20,33,53,-1,10,24,115,57,138
44,Pavel Zacha,Boston,C,81,21,32,53,2,15,24,73,28,136
45,Anton Frondell,Chicago,C,78,21,25,46,-4,11,26,52,85,209
46,William Karlsson,Vegas,C,68,20,27,47,11,10,16,33,48,162
47,Shane Pinto,Ottawa,C,76,21,24,45,4,8,34,85,56,165
48,Anton Lundell,Florida,C,72,19,28,47,5,11,38,80,41,150
49,Matt Duchene,Dallas,C,70,20,32,52,4,17,12,29,28,122
50,Pierre-Luc Dubois,Washington,C,67,17,30,47,5,13,61,64,40,133
