RANK,PLAYER,TEAM,POS,GP,G,A,PTS
1,Nikita Kucherov,Tampa Bay,RW,78,42,89,131
2,Nathan MacKinnon,Colorado,C,81,48,81,129
3,Connor McDavid,Edmonton,C,78,39,89,128
4,Macklin Celebrini,San Jose,C,79,42,63,105
5,David Pastrnak,Boston,RW,80,37,67,104
6,Leon Draisaitl,Edmonton,C,72,41,60,101
7,Kirill Kaprizov,Minnesota,LW,75,44,48,92
8,Nick Suzuki,Montreal,C,84,30,62,92
9,Mark Scheifele,Winnipeg,C,81,34,57,91
10,Artemi Panarin,Los Angeles,LW,80,34,56,90
11,Jason Robertson,Dallas,LW,84,39,50,89
12,Kyle Connor,Winnipeg,LW,78,39,48,87
13,Mikko Rantanen,Dallas,RW,73,30,57,87
14,William Nylander,Toronto,RW,75,37,49,86
15,Cale Makar,Colorado,D,77,23,63,86
16,Martin Necas,Colorado,RW,78,32,53,85
17,Jack Eichel,Vegas,C,72,28,57,85
18,Clayton Keller,Utah,RW,82,28,57,85
19,Jake Guentzel,Tampa Bay,LW,78,37,47,84
20,Mitch Marner,Vegas,RW,80,25,59,84
21,Evan Bouchard,Edmonton,D,83,18,66,84
22,Jack Hughes,New Jersey,C,68,30,53,83
23,Wyatt Johnston,Dallas,C,84,41,40,81
24,Filip Forsberg,Nashville,LW,84,40,41,81
25,Sidney Crosby,Pittsburgh,C,75,31,50,81
26,Sebastian Aho,Carolina,C,79,30,51,81
27,Quinn Hughes,Minnesota,D,76,12,69,81
28,Brandon Hagel,Tampa Bay,LW,77,34,45,79
29,Tim Stutzle,Ottawa,C,80,28,51,79
30,Jesper Bratt,New Jersey,LW,84,23,56,79
31,Cole Caufield,Montreal,LW,83,42,36,78
32,Sam Reinhart,Florida,RW,77,40,38,78
33,Alex DeBrincat,Detroit,LW,84,38,40,78
34,Matthew Boldy,Minnesota,RW,78,35,43,78
35,Lucas Raymond,Detroit,RW,82,27,49,76
36,Aleksander Barkov,Florida,C,70,22,54,76
37,Zach Werenski,Columbus,D,76,20,56,76
38,Ivan Demidov,Montreal,RW,83,23,51,74
39,Lane Hutson,Montreal,D,84,9,65,74
40,Auston Matthews,Toronto,C,68,39,34,73
41,Mika Zibanejad,N.Y. Rangers,C,82,29,44,73
42,Tage Thompson,Buffalo,RW,78,38,34,72
43,Adrian Kempe,Los Angeles,RW,82,37,35,72
44,Logan Cooley,Utah,C,78,34,38,72
45,Dylan Guenther,Utah,RW,77,36,35,71
46,Dylan Larkin,Detroit,C,76,33,38,71
47,Brayden Point,Tampa Bay,C,75,32,39,71
48,Juraj Slafkovsky,Montreal,RW,82,28,43,71
49,Matthew Tkachuk,Florida,RW,65,24,47,71
50,John Tavares,Toronto,C,79,32,38,70
51,Leo Carlsson,Anaheim,C,76,29,41,70
52,Kirill Marchenko,Columbus,RW,78,29,41,70
53,Travis Konecny,Philadelphia,RW,78,28,42,70
54,Robert Thomas,St. Louis,C,70,21,49,70
