Fantasy,,,,,Basic ADP,,,Plus ADP,,
Player,Rank,Pos Rank,CER,%Drafted,Preseason,All Drafts,Last 7 Days,Preseason 💎,All Drafts 💎,Last 7 Days 💎
"Connor McDavid
EDM - C",1,,,100%,1.5,1.5,,,,
"Nathan MacKinnon
COL - C",2,,,100%,2,2,,,,
"Nikita Kucherov
TB - RW",3,,,100%,3.8,3.8,,,,
"Macklin Celebrini
SJ - C",4,,,100%,4.4,4.3,,,,
"Leon Draisaitl
EDM - C,LW",5,,,100%,5.7,5.7,,,,
"Cale Makar
COL - D

O",8,,,100%,6.8,6.7,,,,
"David Pastrnak
BOS - RW",6,,,100%,8,8,,,,
"Kirill Kaprizov
MIN - LW",7,,,100%,9.4,9.4,,,,
"Jason Robertson
DAL - LW,RW",9,,,100%,9.7,9.7,,,,
"Andrei Vasilevskiy
TB - G",10,,,100%,11.2,11.1,,,,
"Quinn Hughes
MIN - D",11,,,100%,12,12,,,,
"Nick Suzuki
MTL - C",12,,,100%,12.7,12.7,,,,
"Zach Werenski
CBJ - D",13,,,100%,15,15,,,,
"Evan Bouchard
EDM - D",18,,,100%,15.9,15.8,,,,
"Auston Matthews
TOR - C",15,,,100%,16.1,16.1,,,,
"Martin Necas
COL - RW",14,,,100%,16.2,16.2,,,,
"Cole Caufield
MTL - LW,RW",20,,,100%,17.9,17.8,,,,
"Jack Hughes
NJ - C,LW",16,,,100%,18.6,18.6,,,,
"Wyatt Johnston
DAL - C,RW",17,,,100%,19.9,19.8,,,,
"Lane Hutson
MTL - D",19,,,100%,20.5,20.5,,,,
"Matt Boldy
MIN - LW,RW",22,,,100%,21.6,21.5,,,,
"Jack Eichel
VGK - C",23,,,100%,22.4,22.4,,,,
"Brady Tkachuk
FLA - C,LW

O",21,,,100%,25.1,25.1,,,,
"Mikko Rantanen
DAL - LW,RW",25,,,100%,25.6,25.6,,,,
"Jake Oettinger
DAL - G

O",24,,,100%,25.8,25.7,,,,
"Tage Thompson
BUF - C,RW",31,,,100%,29.7,29.6,,,,
"Logan Thompson
WSH - G",26,,,100%,30.2,30.2,,,,
"Kyle Connor
WPG - LW",28,,,100%,30.4,30.3,,,,
"Connor Hellebuyck
WPG - G

NA",53,,,100%,31.6,31.3,,,,
"Matthew Schaefer
NYI - D",41,,,100%,31.4,31.4,,,,
"Jake Guentzel
TB - LW,RW",37,,,100%,32.8,32.7,,,,
"Cutter Gauthier
ANA - C,LW,RW",29,,,100%,33.3,33.4,,,,
"Matthew Tkachuk
FLA - LW,RW",30,,,100%,33.7,33.7,,,,
"Rasmus Dahlin
BUF - D",40,,,100%,34.6,34.5,,,,
"Ilya Sorokin
NYI - G",27,,,100%,35.8,35.8,,,,
"Mark Scheifele
WPG - C",32,,,100%,36.6,36.6,,,,
"Brandon Hagel
TB - LW,RW",33,,,100%,37.6,37.7,,,,
"Alex DeBrincat
DET - LW,RW",42,,,100%,41.1,41,,,,
"Mitch Marner
VGK - C,LW,RW",52,,,100%,41.4,41.4,,,,
"Dylan Guenther
UTA - LW,RW",34,,,100%,41.4,41.5,,,,
"Igor Shesterkin
NYR - G",36,,,100%,41.9,41.9,,,,
"William Nylander
TOR - C,RW",48,,,100%,42.3,42.2,,,,
"Clayton Keller
UTA - LW,RW",44,,,100%,44,43.9,,,,
"Leo Carlsson
ANA - C",35,,,100%,45.3,45.4,,,,
"Sam Reinhart
FLA - RW",38,,,100%,47.1,47.1,,,,
"Tim Stutzle
OTT - C,LW",45,,,100%,48,47.9,,,,
"Artemi Panarin
LA - LW",46,,,100%,51.1,50.9,,,,
"Jakob Chychrun
WSH - D",62,,,100%,51.3,51.3,,,,
"Darren Raddysh
TOR - D",57,,,100%,51.7,51.6,,,,
"Juraj Slafkovský
MTL - LW,RW",49,,,100%,52.7,52.7,,,,
"Sidney Crosby
PIT - C",50,,,100%,52.8,52.7,,,,
"Scott Wedgewood
COL - G",39,,,100%,52.9,53,,,,
"Moritz Seider
DET - D",70,,,100%,54,54,,,,
"Adrian Kempe
LA - RW",47,,,100%,55.3,55.3,,,,
"Filip Forsberg
NSH - LW",55,,,100%,56.3,56.2,,,,
"Adam Fox
NYR - D",66,,,100%,56.3,56.2,,,,
"Aleksander Barkov
FLA - C",43,,,100%,56.6,56.7,,,,
"Jesper Wallstedt
MIN - G",54,,,100%,59.2,59.2,,,,
"Jeremy Swayman
BOS - G",75,,,100%,61.2,61.1,,,,
"Jake Sanderson
OTT - D

O",60,,,100%,62.2,62.2,,,,
"Kirill Marchenko
CBJ - RW",51,,,100%,64.1,64,,,,
"Will Smith
SJ - LW,RW",58,,,100%,64,64.1,,,,
"Porter Martone
PHI - RW",63,,,100%,68.4,68.3,,,,
"Karel Vejmelka
UTA - G",74,,,100%,69.1,68.9,,,,
"Connor Bedard
CHI - C,RW

O",95,,,100%,70.3,69.8,,,,
"Miro Heiskanen
DAL - D",90,,,100%,69.9,69.9,,,,
"Pavel Dorofeyev
NYR - LW,RW",64,,,100%,72,72,,,,
"Erik Karlsson
PIT - D",81,,,100%,73.7,73.7,,,,
"Lucas Raymond
DET - RW",61,,,100%,75,75,,,,
"Sebastian Aho
CAR - C",76,,,100%,75.4,75.3,,,,
"Jacob Markstrom
FLA - G",65,,,100%,76,76,,,,
"Robert Thomas
STL - C",56,,,100%,76.4,76.5,,,,
"Jesper Bratt
NJ - LW,RW",67,,,100%,76.8,76.8,,,,
"Brandon Bussi
CAR - G",87,,,100%,77.8,77.6,,,,
"Roman Josi
NSH - D",91,,,100%,78.5,78.5,,,,
"Jackson LaCombe
ANA - D",85,,,100%,79.1,79.1,,,,
"Brock Faber
MIN - D",96,,,100%,81.3,81.3,,,,
"Jakub Dobes
MTL - G",88,,,100%,82,82,,,,
"Brayden Point
TB - C",59,,,100%,83.2,83.4,,,,
"Josh Morrissey
WPG - D",143,,,100%,83.6,83.5,,,,
"Drake Batherson
OTT - LW,RW",71,,,100%,83.6,83.6,,,,
"John Carlson
TB - D",112,,,100%,83.9,83.8,,,,
"Mika Zibanejad
NYR - C,RW",77,,,100%,85,84.9,,,,
"Ivan Demidov
MTL - RW

DTD",69,,,100%,84.9,85,,,,
"Alex Tuch
WSH - LW,RW",116,,,100%,90,89.7,,,,
